"C-20: Disabled Population by type of Disability,Age and Sex ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,Total number of disabled persons,,,In seeing,,,In Hearing,,,In Speech,,,In Movement,,,Mental Retardation,,,Mental Illness,,,Any Other,,,Multiple Disability,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C4920,20,352,District-Sahibganj,Rural,10-19,"6,787","3,614","3,173","2,577","1,333","1,244","1,409",771,638,530,287,243,810,461,349,382,209,173,97,47,50,658,350,308,324,156,168
C4920,20,352,District-Sahibganj,Rural,20-29,"4,707","2,509","2,198","1,856",943,913,935,434,501,366,206,160,576,379,197,261,146,115,76,47,29,448,250,198,189,104,85
C4920,20,352,District-Sahibganj,Rural,30-39,"3,964","2,210","1,754","1,546",800,746,908,500,408,306,160,146,347,247,100,205,112,93,54,30,24,459,279,180,139,82,57
C4920,20,352,District-Sahibganj,Rural,40-49,"3,142","1,784","1,358","1,166",664,502,678,346,332,213,128,85,389,268,121,150,79,71,52,21,31,397,228,169,97,50,47
C4920,20,352,District-Sahibganj,Rural,50-59,"2,301","1,220","1,081",865,437,428,519,259,260,136,79,57,348,211,137,92,46,46,28,14,14,220,134,86,93,40,53
C4920,20,352,District-Sahibganj,Rural,60-69,"2,231","1,108","1,123",721,343,378,550,245,305,89,45,44,428,248,180,67,29,38,26,12,14,203,116,87,147,70,77
C4920,20,352,District-Sahibganj,Rural,70-79,993,444,549,302,138,164,237,103,134,39,20,19,196,102,94,16,9,7,9,2,7,66,31,35,128,39,89
C4920,20,352,District-Sahibganj,Rural,80-89,245,116,129,74,34,40,48,30,18,8,4,4,57,24,33,7,3,4,2,1,1,14,9,5,35,11,24
C4920,20,352,District-Sahibganj,Rural,90+,90,37,53,22,14,8,17,6,11,2,2,0,20,11,9,2,0,2,1,0,1,2,0,2,24,4,20
C4920,20,352,District-Sahibganj,Rural,Age Not Stated,130,60,70,51,24,27,40,17,23,9,3,6,7,4,3,4,3,1,0,0,0,12,6,6,7,3,4
C4920,20,352,District-Sahibganj,Urban,Total,"4,940","2,790","2,150","1,760",970,790,958,530,428,345,193,152,572,353,219,255,169,86,103,65,38,724,390,334,223,120,103
C4920,20,352,District-Sahibganj,Urban,0-4,443,217,226,183,101,82,101,46,55,10,2,8,19,11,8,14,5,9,5,2,3,100,45,55,11,5,6
C4920,20,352,District-Sahibganj,Urban,5-9,496,258,238,213,113,100,100,48,52,35,16,19,29,15,14,21,15,6,2,1,1,74,37,37,22,13,9
C4920,20,352,District-Sahibganj,Urban,10-19,980,552,428,351,192,159,176,93,83,86,50,36,98,61,37,67,48,19,21,11,10,134,73,61,47,24,23
C4920,20,352,District-Sahibganj,Urban,20-29,853,499,354,299,174,125,163,100,63,55,31,24,99,60,39,53,31,22,21,18,3,127,69,58,36,16,20
C4920,20,352,District-Sahibganj,Urban,30-39,583,345,238,207,114,93,117,69,48,39,24,15,58,41,17,32,22,10,22,14,8,80,48,32,28,13,15
C4920,20,352,District-Sahibganj,Urban,40-49,550,339,211,194,102,92,109,66,43,53,33,20,65,50,15,37,27,10,12,8,4,69,45,24,11,8,3
C4920,20,352,District-Sahibganj,Urban,50-59,386,216,170,125,65,60,66,37,29,30,17,13,74,47,27,19,12,7,15,8,7,42,22,20,15,8,7
C4920,20,352,District-Sahibganj,Urban,60-69,332,190,142,111,64,47,67,37,30,16,9,7,68,40,28,5,3,2,0,0,0,36,16,20,29,21,8
C4920,20,352,District-Sahibganj,Urban,70-79,146,81,65,39,24,15,30,18,12,5,4,1,42,20,22,4,4,0,2,2,0,13,5,8,11,4,7
C4920,20,352,District-Sahibganj,Urban,80-89,41,21,20,10,6,4,6,3,3,3,2,1,9,3,6,0,0,0,1,0,1,6,3,3,6,4,2
C4920,20,352,District-Sahibganj,Urban,90+,18,6,12,4,2,2,2,0,2,1,1,0,3,0,3,0,0,0,0,0,0,3,0,3,5,3,2
C4920,20,352,District-Sahibganj,Urban,Age Not Stated,112,66,46,24,13,11,21,13,8,12,4,8,8,5,3,3,2,1,2,1,1,40,27,13,2,1,1
C4920,20,353,District-Pakur,Total,Total,"20,760","11,056","9,704","6,317","3,187","3,130","3,980","2,042","1,938","1,316",743,573,"3,707","2,178","1,529",980,534,446,495,266,229,"2,595","1,411","1,184","1,370",695,675
C4920,20,353,District-Pakur,Total,0-4,"1,633",830,803,681,345,336,377,172,205,28,15,13,100,60,40,56,26,30,7,2,5,312,166,146,72,44,28
C4920,20,353,District-Pakur,Total,5-9,"2,196","1,158","1,038",808,419,389,409,209,200,197,95,102,213,116,97,104,60,44,23,13,10,274,151,123,168,95,73
C4920,20,353,District-Pakur,Total,10-19,"4,215","2,256","1,959","1,171",606,565,722,380,342,338,190,148,777,462,315,262,136,126,90,44,46,549,282,267,306,156,150
C4920,20,353,District-Pakur,Total,20-29,"3,028","1,634","1,394",863,428,435,527,280,247,251,136,115,531,326,205,182,108,74,95,48,47,399,219,180,180,89,91
C4920,20,353,District-Pakur,Total,30-39,"2,472","1,399","1,073",720,383,337,450,256,194,201,124,77,381,244,137,151,82,69,100,56,44,337,188,149,132,66,66
C4920,20,353,District-Pakur,Total,40-49,"2,225","1,304",921,631,340,291,454,257,197,129,83,46,434,287,147,104,62,42,78,50,28,299,171,128,96,54,42
C4920,20,353,District-Pakur,Total,50-59,"1,895","1,057",838,562,290,272,402,211,191,79,42,37,448,289,159,56,31,25,58,29,29,187,111,76,103,54,49
C4920,20,353,District-Pakur,Total,60-69,"1,904",905,999,576,247,329,378,163,215,63,39,24,493,260,233,47,22,25,27,15,12,158,81,77,162,78,84
C4920,20,353,District-Pakur,Total,70-79,849,370,479,226,98,128,200,83,117,24,16,8,232,99,133,13,5,8,10,6,4,53,26,27,91,37,54
C4920,20,353,District-Pakur,Total,80-89,245,103,142,56,25,31,45,23,22,4,2,2,79,27,52,1,0,1,6,2,4,15,8,7,39,16,23
C4920,20,353,District-Pakur,Total,90+,67,24,43,14,3,11,11,7,4,2,1,1,17,6,11,3,2,1,1,1,0,2,0,2,17,4,13
C4920,20,353,District-Pakur,Total,Age Not Stated,31,16,15,9,3,6,5,1,4,0,0,0,2,2,0,1,0,1,0,0,0,10,8,2,4,2,2
C4920,20,353,District-Pakur,Rural,Total,"19,339","10,282","9,057","6,044","3,062","2,982","3,698","1,900","1,798","1,208",679,529,"3,400","1,985","1,415",898,489,409,441,235,206,"2,386","1,297","1,089","1,264",635,629
C4920,20,353,District-Pakur,Rural,0-4,"1,542",781,761,669,339,330,339,156,183,26,13,13,95,58,37,54,25,29,5,1,4,284,147,137,70,42,28
C4920,20,353,District-Pakur,Rural,5-9,"2,088","1,102",986,784,408,376,385,199,186,181,88,93,199,108,91,98,55,43,20,11,9,259,143,116,162,90,72
C4920,20,353,District-Pakur,Rural,10-19,"3,937","2,116","1,821","1,126",589,537,664,352,312,319,180,139,709,422,287,246,125,121,83,39,44,502,261,241,288,148,140
C4920,20,353,District-Pakur,Rural,20-29,"2,815","1,520","1,295",834,411,423,479,259,220,229,123,106,493,300,193,161,98,63,86,45,41,369,204,165,164,80,84
C4920,20,353,District-Pakur,Rural,30-39,"2,295","1,290","1,005",690,366,324,418,234,184,179,112,67,345,222,123,139,76,63,89,49,40,318,176,142,117,55,62
C4920,20,353,District-Pakur,Rural,40-49,"2,052","1,194",858,597,325,272,430,240,190,110,68,42,394,259,135,92,54,38,71,46,25,273,156,117,85,46,39
C4920,20,353,District-Pakur,Rural,50-59,"1,762",973,789,533,275,258,375,194,181,74,39,35,415,263,152,48,27,21,50,24,26,168,99,69,99,52,47
C4920,20,353,District-Pakur,Rural,60-69,"1,765",839,926,529,230,299,364,157,207,62,38,24,455,237,218,45,22,23,23,13,10,144,75,69,143,67,76
C4920,20,353,District-Pakur,Rural,70-79,776,340,436,208,91,117,189,80,109,22,15,7,212,89,123,10,5,5,8,4,4,45,21,24,82,35,47
C4920,20,353,District-Pakur,Rural,80-89,215,88,127,52,22,30,39,21,18,4,2,2,67,20,47,1,0,1,5,2,3,12,7,5,35,14,21
C4920,20,353,District-Pakur,Rural,90+,63,24,39,13,3,10,11,7,4,2,1,1,15,6,9,3,2,1,1,1,0,2,0,2,16,4,12
C4920,20,353,District-Pakur,Rural,Age Not Stated,29,15,14,9,3,6,5,1,4,0,0,0,1,1,0,1,0,1,0,0,0,10,8,2,3,2,1
C4920,20,353,District-Pakur,Urban,Total,"1,421",774,647,273,125,148,282,142,140,108,64,44,307,193,114,82,45,37,54,31,23,209,114,95,106,60,46
C4920,20,353,District-Pakur,Urban,0-4,91,49,42,12,6,6,38,16,22,2,2,0,5,2,3,2,1,1,2,1,1,28,19,9,2,2,0
C4920,20,353,District-Pakur,Urban,5-9,108,56,52,24,11,13,24,10,14,16,7,9,14,8,6,6,5,1,3,2,1,15,8,7,6,5,1
C4920,20,353,District-Pakur,Urban,10-19,278,140,138,45,17,28,58,28,30,19,10,9,68,40,28,16,11,5,7,5,2,47,21,26,18,8,10
C4920,20,353,District-Pakur,Urban,20-29,213,114,99,29,17,12,48,21,27,22,13,9,38,26,12,21,10,11,9,3,6,30,15,15,16,9,7
C4920,20,353,District-Pakur,Urban,30-39,177,109,68,30,17,13,32,22,10,22,12,10,36,22,14,12,6,6,11,7,4,19,12,7,15,11,4
C4920,20,353,District-Pakur,Urban,40-49,173,110,63,34,15,19,24,17,7,19,15,4,40,28,12,12,8,4,7,4,3,26,15,11,11,8,3
C4920,20,353,District-Pakur,Urban,50-59,133,84,49,29,15,14,27,17,10,5,3,2,33,26,7,8,4,4,8,5,3,19,12,7,4,2,2
C4920,20,353,District-Pakur,Urban,60-69,139,66,73,47,17,30,14,6,8,1,1,0,38,23,15,2,0,2,4,2,2,14,6,8,19,11,8
C4920,20,353,District-Pakur,Urban,70-79,73,30,43,18,7,11,11,3,8,2,1,1,20,10,10,3,0,3,2,2,0,8,5,3,9,2,7
C4920,20,353,District-Pakur,Urban,80-89,30,15,15,4,3,1,6,2,4,0,0,0,12,7,5,0,0,0,1,0,1,3,1,2,4,2,2
C4920,20,353,District-Pakur,Urban,90+,4,0,4,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1
C4920,20,353,District-Pakur,Urban,Age Not Stated,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
C4920,20,354,District-Dhanbad,Total,Total,"67,300","38,086","29,214","12,754","6,978","5,776","16,746","9,221","7,525","4,676","2,717","1,959","10,219","6,356","3,863","2,822","1,696","1,126","1,404",884,520,"14,655","7,951","6,704","4,024","2,283","1,741"
C4920,20,354,District-Dhanbad,Total,0-4,"4,171","2,232","1,939",896,466,430,"1,159",609,550,100,53,47,294,185,109,115,54,61,23,18,5,"1,376",720,656,208,127,81
C4920,20,354,District-Dhanbad,Total,5-9,"5,739","3,099","2,640","1,163",604,559,"1,463",751,712,572,343,229,452,257,195,244,146,98,70,39,31,"1,367",721,646,408,238,170
C4920,20,354,District-Dhanbad,Total,10-19,"13,589","7,543","6,046","2,412","1,292","1,120","3,132","1,704","1,428","1,240",702,538,"1,883","1,135",748,831,463,368,267,163,104,"2,889","1,546","1,343",935,538,397
C4920,20,354,District-Dhanbad,Total,20-29,"11,035","6,330","4,705","1,760",980,780,"2,552","1,393","1,159",840,478,362,"1,883","1,185",698,584,368,216,303,193,110,"2,491","1,364","1,127",622,369,253
C4920,20,354,District-Dhanbad,Total,30-39,"8,611","5,100","3,511","1,452",846,606,"2,203","1,262",941,711,437,274,"1,223",832,391,392,253,139,262,170,92,"2,045","1,109",936,323,191,132
C4920,20,354,District-Dhanbad,Total,40-49,"7,498","4,539","2,959","1,411",845,566,"1,956","1,166",790,497,291,206,"1,167",816,351,290,181,109,256,177,79,"1,605",872,733,316,191,125
C4920,20,354,District-Dhanbad,Total,50-59,"6,252","3,638","2,614","1,352",746,606,"1,613",928,685,328,198,130,"1,193",753,440,178,110,68,113,62,51,"1,176",676,500,299,165,134
C4920,20,354,District-Dhanbad,Total,60-69,"5,567","3,004","2,563","1,333",702,631,"1,407",730,677,186,107,79,"1,190",666,524,104,69,35,65,37,28,861,472,389,421,221,200
C4920,20,354,District-Dhanbad,Total,70-79,"2,523","1,367","1,156",599,303,296,674,376,298,70,42,28,584,325,259,32,18,14,27,15,12,267,156,111,270,132,138
C4920,20,354,District-Dhanbad,Total,80-89,759,383,376,174,90,84,192,95,97,20,12,8,170,88,82,7,3,4,4,2,2,71,40,31,121,53,68
C4920,20,354,District-Dhanbad,Total,90+,228,120,108,45,21,24,61,30,31,6,3,3,43,23,20,5,5,0,0,0,0,24,14,10,44,24,20
C4920,20,354,District-Dhanbad,Total,Age Not Stated,"1,328",731,597,157,83,74,334,177,157,106,51,55,137,91,46,40,26,14,14,8,6,483,261,222,57,34,23
C4920,20,354,District-Dhanbad,Rural,Total,"29,339","16,420","12,919","5,982","3,288","2,694","6,752","3,637","3,115","2,052","1,195",857,"4,753","2,892","1,861","1,247",742,505,680,422,258,"5,903","3,136","2,767","1,970","1,108",862
C4920,20,354,District-Dhanbad,Rural,0-4,"1,848",996,852,435,236,199,464,238,226,36,17,19,167,108,59,57,27,30,9,7,2,572,299,273,108,64,44
C4920,20,354,District-Dhanbad,Rural,5-9,"2,492","1,329","1,163",570,293,277,557,274,283,267,160,107,219,132,87,104,59,45,28,16,12,536,275,261,211,120,91
C4920,20,354,District-Dhanbad,Rural,10-19,"5,752","3,158","2,594","1,067",568,499,"1,165",628,537,563,319,244,830,470,360,396,226,170,114,71,43,"1,161",604,557,456,272,184
C4920,20,354,District-Dhanbad,Rural,20-29,"4,555","2,603","1,952",799,458,341,915,502,413,379,213,166,816,516,300,243,148,95,145,92,53,965,513,452,293,161,132
C4920,20,354,District-Dhanbad,Rural,30-39,"3,798","2,281","1,517",673,405,268,885,490,395,305,195,110,598,411,187,178,125,53,140,88,52,857,473,384,162,94,68
C4920,20,354,District-Dhanbad,Rural,40-49,"3,175","1,908","1,267",623,377,246,749,430,319,198,116,82,532,367,165,123,78,45,135,88,47,651,351,300,164,101,63
C4920,20,354,District-Dhanbad,Rural,50-59,"2,659","1,488","1,171",630,340,290,697,392,305,140,83,57,507,300,207,72,35,37,57,28,29,441,238,203,115,72,43
C4920,20,354,District-Dhanbad,Rural,60-69,"2,868","1,491","1,377",713,367,346,765,379,386,93,49,44,620,338,282,41,25,16,34,21,13,391,207,184,211,105,106
C4920,20,354,District-Dhanbad,Rural,70-79,"1,330",709,621,320,162,158,362,205,157,24,16,8,312,164,148,16,8,8,10,5,5,134,80,54,152,69,83
C4920,20,354,District-Dhanbad,Rural,80-89,336,167,169,77,40,37,84,42,42,5,3,2,77,39,38,5,2,3,2,1,1,28,14,14,58,26,32
C4920,20,354,District-Dhanbad,Rural,90+,90,50,40,18,8,10,21,13,8,2,1,1,17,10,7,3,3,0,0,0,0,7,4,3,22,11,11
C4920,20,354,District-Dhanbad,Rural,Age Not Stated,436,240,196,57,34,23,88,44,44,40,23,17,58,37,21,9,6,3,6,5,1,160,78,82,18,13,5
C4920,20,354,District-Dhanbad,Urban,Total,"37,961","21,666","16,295","6,772","3,690","3,082","9,994","5,584","4,410","2,624","1,522","1,102","5,466","3,464","2,002","1,575",954,621,724,462,262,"8,752","4,815","3,937","2,054","1,175",879
C4920,20,354,District-Dhanbad,Urban,0-4,"2,323","1,236","1,087",461,230,231,695,371,324,64,36,28,127,77,50,58,27,31,14,11,3,804,421,383,100,63,37
C4920,20,354,District-Dhanbad,Urban,5-9,"3,247","1,770","1,477",593,311,282,906,477,429,305,183,122,233,125,108,140,87,53,42,23,19,831,446,385,197,118,79
C4920,20,354,District-Dhanbad,Urban,10-19,"7,837","4,385","3,452","1,345",724,621,"1,967","1,076",891,677,383,294,"1,053",665,388,435,237,198,153,92,61,"1,728",942,786,479,266,213
C4920,20,354,District-Dhanbad,Urban,20-29,"6,480","3,727","2,753",961,522,439,"1,637",891,746,461,265,196,"1,067",669,398,341,220,121,158,101,57,"1,526",851,675,329,208,121
C4920,20,354,District-Dhanbad,Urban,30-39,"4,813","2,819","1,994",779,441,338,"1,318",772,546,406,242,164,625,421,204,214,128,86,122,82,40,"1,188",636,552,161,97,64
C4920,20,354,District-Dhanbad,Urban,40-49,"4,323","2,631","1,692",788,468,320,"1,207",736,471,299,175,124,635,449,186,167,103,64,121,89,32,954,521,433,152,90,62
C4920,20,354,District-Dhanbad,Urban,50-59,"3,593","2,150","1,443",722,406,316,916,536,380,188,115,73,686,453,233,106,75,31,56,34,22,735,438,297,184,93,91
C4920,20,354,District-Dhanbad,Urban,60-69,"2,699","1,513","1,186",620,335,285,642,351,291,93,58,35,570,328,242,63,44,19,31,16,15,470,265,205,210,116,94
C4920,20,354,District-Dhanbad,Urban,70-79,"1,193",658,535,279,141,138,312,171,141,46,26,20,272,161,111,16,10,6,17,10,7,133,76,57,118,63,55
C4920,20,354,District-Dhanbad,Urban,80-89,423,216,207,97,50,47,108,53,55,15,9,6,93,49,44,2,1,1,2,1,1,43,26,17,63,27,36
C4920,20,354,District-Dhanbad,Urban,90+,138,70,68,27,13,14,40,17,23,4,2,2,26,13,13,2,2,0,0,0,0,17,10,7,22,13,9
C4920,20,354,District-Dhanbad,Urban,Age Not Stated,892,491,401,100,49,51,246,133,113,66,28,38,79,54,25,31,20,11,8,3,5,323,183,140,39,21,18
C4920,20,355,District-Bokaro,Total,Total,"70,261","39,427","30,834","26,593","14,393","12,200","12,776","6,971","5,805","4,017","2,212","1,805","9,055","5,667","3,388","3,522","1,936","1,586","1,326",798,528,"8,865","5,080","3,785","4,107","2,370","1,737"
C4920,20,355,District-Bokaro,Total,0-4,"4,518","2,343","2,175","2,158","1,106","1,052",853,444,409,92,49,43,236,135,101,181,90,91,19,10,9,782,407,375,197,102,95
C4920,20,355,District-Bokaro,Total,5-9,"6,218","3,270","2,948","2,657","1,366","1,291","1,127",561,566,471,248,223,437,268,169,338,175,163,69,35,34,694,365,329,425,252,173
C4920,20,355,District-Bokaro,Total,10-19,"14,354","7,796","6,558","5,543","2,954","2,589","2,345","1,254","1,091","1,053",561,492,"1,599",919,680,886,475,411,279,166,113,"1,690",908,782,959,559,400
C4920,20,355,District-Bokaro,Total,20-29,"11,919","6,754","5,165","4,270","2,299","1,971","1,998","1,077",921,809,451,358,"1,586","1,043",543,793,435,358,275,163,112,"1,571",901,670,617,385,232
C4920,20,355,District-Bokaro,Total,30-39,"9,826","5,736","4,090","3,613","2,004","1,609","1,817","1,039",778,582,306,276,"1,200",800,400,542,304,238,263,179,84,"1,375",850,525,434,254,180
C4920,20,355,District-Bokaro,Total,40-49,"7,812","4,693","3,119","2,987","1,772","1,215","1,477",844,633,414,240,174,"1,052",692,360,335,205,130,205,122,83,"1,075",646,429,267,172,95
C4920,20,355,District-Bokaro,Total,50-59,"6,374","3,655","2,719","2,267","1,258","1,009","1,206",660,546,290,164,126,"1,151",715,436,246,138,108,110,49,61,793,489,304,311,182,129
C4920,20,355,District-Bokaro,Total,60-69,"5,656","3,247","2,409","1,941","1,044",897,"1,156",661,495,214,143,71,"1,111",700,411,135,81,54,70,47,23,568,329,239,461,242,219
C4920,20,355,District-Bokaro,Total,70-79,"2,328","1,275","1,053",762,382,380,506,281,225,60,31,29,470,287,183,43,20,23,28,23,5,185,106,79,274,145,129
C4920,20,355,District-Bokaro,Total,80-89,655,344,311,201,106,95,156,84,72,13,7,6,128,69,59,5,3,2,4,1,3,43,23,20,105,51,54
C4920,20,355,District-Bokaro,Total,90+,202,87,115,53,20,33,44,23,21,5,3,2,45,18,27,1,0,1,1,1,0,9,4,5,44,18,26
C4920,20,355,District-Bokaro,Total,Age Not Stated,399,227,172,141,82,59,91,43,48,14,9,5,40,21,19,17,10,7,3,2,1,80,52,28,13,8,5
C4920,20,355,District-Bokaro,Rural,Total,"38,280","21,020","17,260","14,710","7,825","6,885","7,188","3,828","3,360","2,040","1,085",955,"4,900","3,021","1,879","1,856",974,882,725,432,293,"4,510","2,575","1,935","2,351","1,280","1,071"
C4920,20,355,District-Bokaro,Rural,0-4,"2,664","1,364","1,300","1,264",642,622,521,273,248,51,26,25,136,78,58,98,48,50,16,9,7,450,220,230,128,68,60
C4920,20,355,District-Bokaro,Rural,5-9,"3,671","1,892","1,779","1,589",810,779,662,328,334,272,136,136,254,155,99,218,111,107,38,20,18,386,197,189,252,135,117
C4920,20,355,District-Bokaro,Rural,10-19,"7,997","4,266","3,731","3,087","1,612","1,475","1,352",694,658,565,306,259,903,520,383,491,249,242,147,87,60,901,488,413,551,310,241
C4920,20,355,District-Bokaro,Rural,20-29,"5,897","3,314","2,583","2,165","1,159","1,006",970,525,445,397,218,179,786,508,278,372,200,172,145,81,64,728,424,304,334,199,135
C4920,20,355,District-Bokaro,Rural,30-39,"5,170","2,976","2,194","1,939","1,084",855,978,548,430,283,140,143,644,420,224,268,134,134,136,90,46,680,429,251,242,131,111
C4920,20,355,District-Bokaro,Rural,40-49,"4,036","2,425","1,611","1,503",883,620,795,452,343,187,103,84,594,392,202,169,99,70,122,73,49,522,333,189,144,90,54
C4920,20,355,District-Bokaro,Rural,50-59,"3,147","1,735","1,412","1,140",611,529,633,322,311,115,61,54,556,352,204,125,65,60,60,29,31,350,199,151,168,96,72
C4920,20,355,District-Bokaro,Rural,60-69,"3,397","1,837","1,560","1,234",623,611,735,393,342,118,70,48,615,368,247,76,48,28,45,29,16,300,174,126,274,132,142
C4920,20,355,District-Bokaro,Rural,70-79,"1,527",809,718,535,262,273,360,201,159,31,12,19,289,172,117,28,13,15,12,11,1,121,68,53,151,70,81
C4920,20,355,District-Bokaro,Rural,80-89,416,211,205,145,79,66,95,50,45,7,4,3,75,34,41,1,0,1,2,1,1,19,11,8,72,32,40
C4920,20,355,District-Bokaro,Rural,90+,124,56,68,32,14,18,28,16,12,4,2,2,24,9,15,1,0,1,0,0,0,6,2,4,29,13,16
C4920,20,355,District-Bokaro,Rural,Age Not Stated,234,135,99,77,46,31,59,26,33,10,7,3,24,13,11,9,7,2,2,2,0,47,30,17,6,4,2
C4920,20,355,District-Bokaro,Urban,Total,"31,981","18,407","13,574","11,883","6,568","5,315","5,588","3,143","2,445","1,977","1,127",850,"4,155","2,646","1,509","1,666",962,704,601,366,235,"4,355","2,505","1,850","1,756","1,090",666
C4920,20,355,District-Bokaro,Urban,0-4,"1,854",979,875,894,464,430,332,171,161,41,23,18,100,57,43,83,42,41,3,1,2,332,187,145,69,34,35
C4920,20,355,District-Bokaro,Urban,5-9,"2,547","1,378","1,169","1,068",556,512,465,233,232,199,112,87,183,113,70,120,64,56,31,15,16,308,168,140,173,117,56
C4920,20,355,District-Bokaro,Urban,10-19,"6,357","3,530","2,827","2,456","1,342","1,114",993,560,433,488,255,233,696,399,297,395,226,169,132,79,53,789,420,369,408,249,159
C4920,20,355,District-Bokaro,Urban,20-29,"6,022","3,440","2,582","2,105","1,140",965,"1,028",552,476,412,233,179,800,535,265,421,235,186,130,82,48,843,477,366,283,186,97
C4920,20,355,District-Bokaro,Urban,30-39,"4,656","2,760","1,896","1,674",920,754,839,491,348,299,166,133,556,380,176,274,170,104,127,89,38,695,421,274,192,123,69
C4920,20,355,District-Bokaro,Urban,40-49,"3,776","2,268","1,508","1,484",889,595,682,392,290,227,137,90,458,300,158,166,106,60,83,49,34,553,313,240,123,82,41
C4920,20,355,District-Bokaro,Urban,50-59,"3,227","1,920","1,307","1,127",647,480,573,338,235,175,103,72,595,363,232,121,73,48,50,20,30,443,290,153,143,86,57
C4920,20,355,District-Bokaro,Urban,60-69,"2,259","1,410",849,707,421,286,421,268,153,96,73,23,496,332,164,59,33,26,25,18,7,268,155,113,187,110,77
C4920,20,355,District-Bokaro,Urban,70-79,801,466,335,227,120,107,146,80,66,29,19,10,181,115,66,15,7,8,16,12,4,64,38,26,123,75,48
C4920,20,355,District-Bokaro,Urban,80-89,239,133,106,56,27,29,61,34,27,6,3,3,53,35,18,4,3,1,2,0,2,24,12,12,33,19,14
C4920,20,355,District-Bokaro,Urban,90+,78,31,47,21,6,15,16,7,9,1,1,0,21,9,12,0,0,0,1,1,0,3,2,1,15,5,10
C4920,20,355,District-Bokaro,Urban,Age Not Stated,165,92,73,64,36,28,32,17,15,4,2,2,16,8,8,8,3,5,1,0,1,33,22,11,7,4,3
C4920,20,356,District-Lohardaga,Total,Total,"8,356","4,568","3,788","1,107",583,524,"1,454",777,677,408,232,176,"2,514","1,434","1,080",576,314,262,340,198,142,"1,145",607,538,812,423,389
C4920,20,356,District-Lohardaga,Total,0-4,362,206,156,60,32,28,92,42,50,11,6,5,72,38,34,21,13,8,3,3,0,66,40,26,37,32,5
C4920,20,356,District-Lohardaga,Total,5-9,705,436,269,93,49,44,181,124,57,76,44,32,103,67,36,61,41,20,13,9,4,106,61,45,72,41,31
C4920,20,356,District-Lohardaga,Total,10-19,"1,574",881,693,190,100,90,249,154,95,135,75,60,393,224,169,167,84,83,65,39,26,220,122,98,155,83,72
C4920,20,356,District-Lohardaga,Total,20-29,"1,166",668,498,118,66,52,166,87,79,63,38,25,366,232,134,101,48,53,63,41,22,201,106,95,88,50,38
C4920,20,356,District-Lohardaga,Total,30-39,925,503,422,108,61,47,143,69,74,40,22,18,275,165,110,85,48,37,61,31,30,160,77,83,53,30,23
C4920,20,356,District-Lohardaga,Total,40-49,873,506,367,102,57,45,139,65,74,31,22,9,287,184,103,68,40,28,58,38,20,133,70,63,55,30,25
C4920,20,356,District-Lohardaga,Total,50-59,780,411,369,115,61,54,118,57,61,19,9,10,282,158,124,37,23,14,35,17,18,104,50,54,70,36,34
C4920,20,356,District-Lohardaga,Total,60-69,"1,088",500,588,188,84,104,199,86,113,17,9,8,392,185,207,28,12,16,29,13,16,104,54,50,131,57,74
C4920,20,356,District-Lohardaga,Total,70-79,595,306,289,92,50,42,114,67,47,14,6,8,226,114,112,6,3,3,7,4,3,36,19,17,100,43,57
C4920,20,356,District-Lohardaga,Total,80-89,234,125,109,34,20,14,44,22,22,2,1,1,96,55,41,1,1,0,4,2,2,13,6,7,40,18,22
C4920,20,356,District-Lohardaga,Total,90+,51,24,27,7,3,4,9,4,5,0,0,0,20,11,9,0,0,0,2,1,1,2,2,0,11,3,8
C4920,20,356,District-Lohardaga,Total,Age Not Stated,3,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
C4920,20,356,District-Lohardaga,Rural,Total,"7,441","4,048","3,393",990,514,476,"1,348",720,628,340,197,143,"2,305","1,307",998,435,242,193,293,168,125,"1,006",529,477,724,371,353
C4920,20,356,District-Lohardaga,Rural,0-4,319,184,135,51,27,24,87,41,46,11,6,5,64,35,29,16,12,4,2,2,0,59,35,24,29,26,3
C4920,20,356,District-Lohardaga,Rural,5-9,639,395,244,87,46,41,176,121,55,64,37,27,91,59,32,48,35,13,12,8,4,96,53,43,65,36,29
C4920,20,356,District-Lohardaga,Rural,10-19,"1,419",793,626,177,92,85,232,144,88,113,66,47,365,204,161,139,69,70,59,37,22,198,109,89,136,72,64
C4920,20,356,District-Lohardaga,Rural,20-29,981,560,421,99,55,44,145,76,69,51,31,20,326,209,117,75,33,42,52,33,19,161,81,80,72,42,30
C4920,20,356,District-Lohardaga,Rural,30-39,788,430,358,90,48,42,134,65,69,29,17,12,246,147,99,52,35,17,50,25,25,140,67,73,47,26,21
